school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,passed,attendance_pct,attendance_zone,grade_progress,department,core_subject,semester,admission_type,hostel_status,backlog_count,guardian_call_required,risk_segment
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,14,1,98,Eligible,0,EE,Mathematics,Sem 3,Entrance,Day Scholar,0,No,Low Risk
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13,1,100,Eligible,2,CSBS,Mathematics,Sem 5,Merit,Hosteller,0,No,Low Risk
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12,1,100,Eligible,1,CSBS,Electronics,Sem 2,Management,Day Scholar,0,No,Low Risk
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13,1,100,Eligible,0,ECE,DBMS,Sem 6,Management,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15,1,100,Eligible,0,Civil,Mathematics,Sem 4,Entrance,Hosteller,0,No,Low Risk
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17,1,94,Eligible,0,ME,Mechanics,Sem 3,Management,Hosteller,0,No,Low Risk
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14,1,90,Eligible,0,IT,Mathematics,Sem 2,Entrance,Day Scholar,0,No,Low Risk
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14,1,98,Eligible,1,CSBS,Mathematics,Sem 3,Entrance,Hosteller,0,No,Low Risk
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7,0,98,Eligible,0,Civil,Mathematics,Sem 2,Entrance,Day Scholar,3,Yes,High Risk
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12,1,94,Eligible,0,IT,Machine Learning,Sem 1,Entrance,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14,1,100,Eligible,1,ME,Machine Learning,Sem 6,Merit,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12,1,100,Eligible,1,CSE,DBMS,Sem 3,Entrance,Hosteller,0,No,Low Risk
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14,1,100,Eligible,1,Food Tech,Programming,Sem 4,Lateral Entry,Day Scholar,0,No,Low Risk
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10,1,98,Eligible,0,Civil,Mathematics,Sem 4,Management,Day Scholar,0,No,Low Risk
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10,1,98,Eligible,1,CSDS,Food Processing,Sem 5,Lateral Entry,Day Scholar,0,No,Low Risk
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12,1,94,Eligible,1,CSE,Programming,Sem 2,Merit,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12,1,92,Eligible,1,Food Tech,DBMS,Sem 3,Lateral Entry,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11,1,100,Eligible,0,ECE,Operating Systems,Sem 5,Management,Day Scholar,0,No,Low Risk
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13,1,98,Eligible,0,AI & ML,Programming,Sem 3,Lateral Entry,Day Scholar,0,No,Low Risk
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12,1,96,Eligible,-1,EE,Programming,Sem 2,Merit,Day Scholar,0,No,Low Risk
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11,1,100,Eligible,1,CSDS,Thermodynamics,Sem 4,Entrance,Day Scholar,0,No,Low Risk
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15,1,98,Eligible,0,ECE,Data Structures,Sem 1,Lateral Entry,Day Scholar,0,No,Low Risk
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15,1,100,Eligible,1,ME,Thermodynamics,Sem 4,Merit,Day Scholar,0,No,Low Risk
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,1,100,Eligible,-1,ECE,Mechanics,Sem 5,Merit,Hosteller,0,No,Low Risk
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12,1,96,Eligible,0,AI & ML,Machine Learning,Sem 6,Management,Day Scholar,0,No,Low Risk
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11,1,96,Eligible,0,ME,Machine Learning,Sem 1,Management,Hosteller,0,No,Low Risk
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14,1,100,Eligible,0,CSDS,Data Structures,Sem 5,Lateral Entry,Hosteller,0,No,Low Risk
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13,1,96,Eligible,0,AI & ML,Electronics,Sem 2,Entrance,Day Scholar,0,No,Low Risk
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12,1,98,Eligible,1,IT,Electronics,Sem 1,Merit,Day Scholar,0,No,Low Risk
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12,1,92,Eligible,-1,EE,DBMS,Sem 5,Lateral Entry,Hosteller,0,No,Low Risk
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10,1,84,Eligible,0,CSDS,Data Structures,Sem 2,Merit,Day Scholar,0,No,Low Risk
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11,1,92,Eligible,1,IT,Programming,Sem 4,Merit,Day Scholar,0,No,Low Risk
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15,1,100,Eligible,1,Food Tech,Electronics,Sem 6,Entrance,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10,1,100,Eligible,1,CSDS,Mathematics,Sem 2,Entrance,Hosteller,0,No,Low Risk
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11,1,86,Eligible,1,Food Tech,Food Processing,Sem 3,Lateral Entry,Hosteller,1,Yes,Low Risk
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11,1,96,Eligible,1,ME,Programming,Sem 2,Entrance,Day Scholar,0,No,Low Risk
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13,1,94,Eligible,-1,IT,Mechanics,Sem 2,Entrance,Hosteller,0,No,Low Risk
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17,1,98,Eligible,0,EE,Mathematics,Sem 6,Lateral Entry,Day Scholar,0,No,Low Risk
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13,1,96,Eligible,1,AI & ML,Mathematics,Sem 3,Entrance,Hosteller,0,No,Low Risk
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12,1,98,Eligible,-1,CSBS,Data Structures,Sem 5,Management,Hosteller,0,No,Low Risk
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13,1,100,Eligible,-1,ECE,DBMS,Sem 5,Merit,Hosteller,0,No,Low Risk
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16,1,100,Eligible,-2,CSE,Mechanics,Sem 2,Merit,Day Scholar,0,No,Low Risk
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9,0,96,Eligible,-1,EE,Electronics,Sem 3,Merit,Day Scholar,0,Yes,High Risk
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12,1,100,Eligible,-1,IT,Data Structures,Sem 3,Merit,Hosteller,0,No,Low Risk
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13,1,100,Eligible,-1,CSBS,Electronics,Sem 6,Lateral Entry,Hosteller,0,No,Low Risk
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12,1,98,Eligible,1,EE,Data Structures,Sem 4,Merit,Hosteller,0,No,Low Risk
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15,1,100,Eligible,-1,IT,Data Structures,Sem 5,Merit,Day Scholar,0,No,Low Risk
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16,1,92,Eligible,0,Civil,Data Structures,Sem 6,Merit,Hosteller,0,No,Low Risk
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14,1,100,Eligible,-1,Civil,DBMS,Sem 1,Merit,Day Scholar,0,No,Low Risk
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16,1,98,Eligible,-1,Food Tech,Data Structures,Sem 5,Management,Hosteller,0,No,Low Risk
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16,1,100,Eligible,-1,EE,Operating Systems,Sem 6,Merit,Hosteller,0,No,Low Risk
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16,1,100,Eligible,0,Civil,Food Processing,Sem 5,Management,Hosteller,0,No,Low Risk
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10,1,100,Eligible,0,IT,Electronics,Sem 4,Lateral Entry,Hosteller,0,No,Low Risk
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13,1,100,Eligible,-1,Food Tech,Programming,Sem 1,Entrance,Hosteller,0,No,Low Risk
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,1,100,Eligible,-1,IT,Thermodynamics,Sem 4,Merit,Hosteller,0,No,Low Risk
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16,1,98,Eligible,-1,Food Tech,Mechanics,Sem 1,Entrance,Day Scholar,0,No,Low Risk
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,1,100,Eligible,1,EE,Machine Learning,Sem 2,Entrance,Hosteller,0,No,Low Risk
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10,1,100,Eligible,-1,CSBS,DBMS,Sem 6,Lateral Entry,Day Scholar,0,Yes,Low Risk
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11,1,100,Eligible,-1,AI & ML,Programming,Sem 1,Entrance,Hosteller,0,No,Low Risk
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15,1,94,Eligible,0,CSDS,Mathematics,Sem 4,Management,Hosteller,0,No,Low Risk
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11,1,98,Eligible,-2,CSBS,Operating Systems,Sem 5,Entrance,Day Scholar,0,No,Low Risk
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10,1,100,Eligible,-2,ME,Machine Learning,Sem 1,Entrance,Hosteller,0,Yes,Low Risk
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11,1,98,Eligible,-2,IT,Thermodynamics,Sem 6,Entrance,Day Scholar,0,No,Low Risk
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14,1,100,Eligible,0,ME,Programming,Sem 1,Merit,Day Scholar,0,No,Low Risk
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11,1,96,Eligible,0,CSBS,Machine Learning,Sem 3,Merit,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11,1,100,Eligible,0,Food Tech,Programming,Sem 5,Management,Day Scholar,0,No,Low Risk
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11,1,100,Eligible,-1,CSDS,Operating Systems,Sem 6,Management,Day Scholar,0,No,Low Risk
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13,1,99,Eligible,0,CSDS,Thermodynamics,Sem 6,Merit,Hosteller,0,No,Low Risk
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,1,100,Eligible,0,CSE,Mathematics,Sem 2,Management,Day Scholar,3,Yes,Low Risk
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11,1,86,Eligible,-1,CSDS,Data Structures,Sem 4,Merit,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12,1,100,Eligible,0,AI & ML,Electronics,Sem 2,Lateral Entry,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9,0,98,Eligible,-1,CSDS,Mathematics,Sem 6,Entrance,Hosteller,0,Yes,High Risk
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11,1,96,Eligible,-1,CSBS,Data Structures,Sem 5,Entrance,Hosteller,0,No,Low Risk
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13,1,98,Eligible,-1,CSE,DBMS,Sem 1,Management,Day Scholar,0,No,Low Risk
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12,1,98,Eligible,-1,CSBS,Food Processing,Sem 1,Merit,Hosteller,0,No,Low Risk
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12,1,96,Eligible,-1,CSBS,Mechanics,Sem 5,Merit,Hosteller,0,No,Low Risk
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,6,13,11,11,1,94,Eligible,-2,ECE,Mechanics,Sem 6,Management,Day Scholar,0,No,Low Risk
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15,1,96,Eligible,0,CSE,Electronics,Sem 1,Merit,Hosteller,0,No,Low Risk
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11,1,94,Eligible,-2,CSBS,Thermodynamics,Sem 1,Lateral Entry,Hosteller,0,No,Low Risk
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10,1,94,Eligible,0,ECE,Operating Systems,Sem 1,Entrance,Day Scholar,0,Yes,Low Risk
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,2,9,11,11,1,98,Eligible,2,ECE,Thermodynamics,Sem 4,Management,Day Scholar,0,No,Low Risk
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,6,14,13,13,1,94,Eligible,-1,CSE,Operating Systems,Sem 4,Management,Day Scholar,0,No,Low Risk
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,0,12,13,12,1,100,Eligible,1,ME,Thermodynamics,Sem 3,Merit,Day Scholar,0,No,Low Risk
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,13,14,14,1,98,Eligible,1,Food Tech,Food Processing,Sem 2,Management,Day Scholar,0,No,Low Risk
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,2,11,12,12,1,98,Eligible,1,AI & ML,DBMS,Sem 5,Lateral Entry,Day Scholar,0,No,Low Risk
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13,1,96,Eligible,0,Food Tech,DBMS,Sem 5,Merit,Day Scholar,0,No,Low Risk
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,6,9,11,11,1,94,Eligible,2,CSDS,Data Structures,Sem 5,Merit,Hosteller,0,No,Low Risk
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,0,13,12,12,1,100,Eligible,-1,AI & ML,Machine Learning,Sem 3,Merit,Day Scholar,0,No,Low Risk
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13,1,96,Eligible,1,CSDS,DBMS,Sem 4,Merit,Day Scholar,0,No,Low Risk
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,2,12,13,13,1,98,Eligible,1,CSBS,DBMS,Sem 6,Lateral Entry,Day Scholar,0,No,Low Risk
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,12,9,9,8,0,88,Eligible,0,IT,Mathematics,Sem 6,Merit,Hosteller,0,Yes,High Risk
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,16,16,1,100,Eligible,0,CSE,Mathematics,Sem 3,Management,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,2,12,13,12,1,98,Eligible,1,AI & ML,Data Structures,Sem 6,Lateral Entry,Day Scholar,0,No,Low Risk
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,16,11,10,10,1,84,Eligible,-1,AI & ML,Machine Learning,Sem 5,Entrance,Day Scholar,0,No,Low Risk
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16,1,100,Eligible,0,CSBS,Electronics,Sem 2,Entrance,Day Scholar,0,No,Low Risk
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,10,10,1,90,Eligible,0,ME,Mathematics,Sem 1,Management,Hosteller,0,No,Low Risk
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,4,10,10,10,1,96,Eligible,0,ECE,Electronics,Sem 4,Management,Hosteller,0,No,Low Risk
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,13,14,14,1,96,Eligible,1,CSBS,Programming,Sem 4,Lateral Entry,Day Scholar,0,No,Low Risk
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,8,12,10,11,1,92,Eligible,-2,Civil,Mathematics,Sem 3,Entrance,Hosteller,0,No,Low Risk
